Activity database;Activity code;Activity name;Activity unit;Activity type;Exchange database;Exchange input;Exchange amount;Exchange unit;Exchange type
fg_corn;Process water;Process water;kg;process;con391;42a88037a800886bf4d8a354d139923d;1.29;kg;technosphere
fg_corn;Succinic acid production (corn);Succinic acid production (corn);kg;process;biosphere3;4ec70203-13b0-58cc-b4dd-2fcce8a96732;0.002;kg;biosphere
fg_corn;Succinic acid production (corn);Succinic acid production (corn);kg;process;con391;5da9f37ddefb10971887f02fc446d8c3;-2.72;kg;technosphere
fg_corn;Succinic acid production (corn);Succinic acid production (corn);kg;process;biosphere3;7678cec7-b8e1-439d-8242-99cd452834b1;0.005;kg;biosphere
fg_corn;Natural gas for steam;Natural gas for steam;MJ;process;con391;91309408f57e75a2fc1e5f4a9fd6518c;14.77;MJ;technosphere
fg_corn;Succinic acid production (corn);Succinic acid production (corn);kg;process;biosphere3;9990b51b-7023-4700-bca0-1a32ef921f74;0.001;kg;biosphere
fg_corn;Succinic acid production (corn);Succinic acid production (corn);kg;process;con391;9c3b3e95f4ff6ec6e4287107d2aa489d;0.82;kg;technosphere
fg_corn;Succinic acid production (corn);Succinic acid production (corn);kg;process;con391;9c3b3e95f4ff6ec6e4287107d2aa489d;0.395;kg;technosphere
fg_corn;Succinic acid production (corn);Succinic acid production (corn);kg;process;biosphere3;a3beb5ac-5149-47f6-a035-53fc5030f10a;0.015;kg;biosphere
fg_corn;Succinic acid production (corn);Succinic acid production (corn);kg;process;fg_corn;Ammonia Liquid;0.41;kg;technosphere
fg_corn;Ammonia Liquid;Ammonia Liquid;kg;process;fg_corn;Ammonia Liquid;0.41;kg;production
fg_corn;Electricity (corn);Electricity (corn);kWh;process;con391;b0043a9ba35dea3f767abb1cf200032f;2.67;kWh;technosphere
fg_corn;Succinic acid production (corn);Succinic acid production (corn);m3;process;con391;c96878c3cdb7a02e88f72871d11acaee;0.011;m3;technosphere
fg_corn;Sorghum grains;Sorghum grains;kg;process;con391;d5d680bed29f0d204ee68eb9f8867d0e;1.66;kg;technosphere
fg_corn;Ammonia Liquid;Ammonia Liquid;kg;process;con391;dc7a675d8adacd2cdc6fbda5a3bbe616;0.41;kg;technosphere
fg_corn;Succinic acid production (corn);Succinic acid production (corn);kg;process;fg_corn;Dextrose;0.013;kg;technosphere
fg_corn;Dextrose;Dextrose;kg;process;fg_corn;Dextrose;0.013;kg;production
fg_corn;Succinic acid production (corn);Succinic acid production (corn);kWh;process;fg_corn;Electricity (corn);2.67;kWh;technosphere
fg_corn;Electricity (corn);Electricity (corn);kWh;process;fg_corn;Electricity (corn);2.67;kWh;production
fg_corn;Dextrose;Dextrose;kg;process;con391;f8a41872402cf4a2bd8087c1c1005b7a;0.013;kg;technosphere
fg_corn;Ultrapure water;Ultrapure water;kg;process;con391;fa54dea702f85be5e0973dfae7f6e59c;25.3;kg;technosphere
fg_corn;Succinic acid production (corn);Succinic acid production (corn);kg;process;biosphere3;fbcb9c7a-eea7-4694-ba6c-568e01d28883;0.000172;kg;biosphere
fg_corn;Succinic acid production (corn);Succinic acid production (corn);kg;process;biosphere3;ffa96a92-2796-5a7c-ac56-3b8f290ed66d;0.0000806;kg;biosphere
fg_corn;Succinic acid production (corn);Succinic acid production (corn);MJ;process;fg_corn;Natural gas for steam;14.77;MJ;technosphere
fg_corn;Natural gas for steam;Natural gas for steam;MJ;process;fg_corn;Natural gas for steam;14.77;MJ;production
fg_corn;Succinic acid production (corn);Succinic acid production (corn);m3;process;fg_corn;Process water;1.29;m3;technosphere
fg_corn;Process water;Process water;m3;process;fg_corn;Process water;1.29;m3;production
fg_corn;Succinic acid production (corn);Succinic acid production (corn);kg;process;fg_corn;Sorghum grains;1.66;kg;technosphere
fg_corn;Sorghum grains;Sorghum grains;kg;process;fg_corn;Sorghum grains;1.66;kg;production
fg_corn;Succinic acid production (corn);Succinic acid production (corn);kg;process;fg_corn;Succinic acid production (corn);1;kg;production
fg_corn;Succinic acid production (corn);Succinic acid production (corn);kg;process;fg_corn;Ultrapure water;25.3;kg;technosphere
fg_corn;Ultrapure water;Ultrapure water;kg;process;fg_corn;Ultrapure water;25.3;kg;production
